person_id,transcript
89343,"them, they set to work very diligently to write out a history of the
"
14532,"
"
67045,"
"
97245,"sea, some children digging in the sand with wooden spades, then a row
"
83673,"‘Yes, it IS his business!’ said Five, ‘and I’ll tell him--it was for
"
55804,"leading right into it. ‘That’s very curious!’ she thought. ‘But
"
84819,"Alas! it was too late to wish that! She went on growing, and growing,
"
39426,"
"
54867,"‘Digging for apples, indeed!’ said the Rabbit angrily. ‘Here! Come and
"
29338,"that--only the March Hare said--’
"
60974,"‘They couldn’t have done that, you know,’ Alice gently remarked; ‘they’d
"
36829,"a little pattering of footsteps in the distance, and she looked up
"
93699,"
"
38006,"   A secret, kept from all the rest,
"
49286,"then a voice she had never heard before, ‘Sure then I’m here! Digging
"
68586,"
"
42818,"
"
12378,"
"
65815,"It’s enough to drive one crazy!’
"
22085,"
"
68889,"of being all alone here!’
"
92692,"In another moment down went Alice after it, never once considering how
"
65661,"I THINK I can kick a little!’
"
67825,"faces, so that they couldn’t see it?’ So she stood still where she was,
"
57774,"the place of the March Hare. The Hatter was the only one who got any
"
22894,"‘With extras?’ asked the Mock Turtle a little anxiously.
"
58039,"remembered that she still held the pieces of mushroom in her hands, and
"
26560,"croquet-ground.
"
37295,"‘I’m a poor man, your Majesty,’ the Hatter began, in a trembling voice,
"
24633,"and yawned once or twice, and shook itself. Then it got down off the
"
57922,"‘I do,’ Alice hastily replied; ‘at least--at least I mean what I
"
38822,"led into the garden. Then she went to work nibbling at the mushroom (she
"
26042,"‘Then it ought to be Number One,’ said Alice.
"
26673,"
"
15361,"on.’
"
12665,"uncomfortably sharp chin. However, she did not like to be rude, so she
"
96985,"nearly out of sight, he said in a deep voice, ‘What are tarts made of?’
"
60368,"
"
64955,"This piece of rudeness was more than Alice could bear: she got up in
"
56902,"know why it’s called a whiting?’
"
54218,"as “I sleep when I breathe”!’
"
43066,"
"
16959,"
"
41966,"
"
55484,"Then they all crowded round her once more, while the Dodo solemnly
"
95621,"of the cattle in the distance would take the place of the Mock Turtle’s
"
80651,"
"
41829,"
"
67630,"fear they should forget them before the end of the trial.’
"
44199,"
"
11522,"
"
20933,"
"
59678,"‘I said pig,’ replied Alice; ‘and I wish you wouldn’t keep appearing and
"
35613,"It’s enough to drive one crazy!’
"
71673,"(IF you don’t know what a Gryphon is, look at the picture.) ‘Up, lazy
"
87057,"
"
50862,"‘Of course not,’ said the Mock Turtle: ‘why, if a fish came to ME, and
"
69103,"
"
11120,"down in a large arm-chair at one end of the table.
"
94527,"blow with its head, it WOULD twist itself round and look up in her face,
"
96937,"            cause,
"
82144,"
"
97186,"for any lesson-books!’
"
76763,"
"
18034,"
"
12347,"‘Hadn’t time,’ said the Gryphon: ‘I went to the Classics master, though.
"
78440,"‘The lobsters!’ shouted the Gryphon, with a bound into the air.
"
57215,"Alice.
"
48233,"Suddenly she came upon a little three-legged table, all made of solid
"
18661,"led into the garden. Then she went to work nibbling at the mushroom (she
"
78861,"ear and left foot, so as to prevent its undoing itself,) she carried
"
35409,"it to make it stop.
"
81641,"Forty-two. ALL PERSONS MORE THAN A MILE HIGH TO LEAVE THE COURT.’
"
36560,"
"
96710,"anxiously round to see if he would deny it too: but the Dormouse denied
"
25872,"   ‘In my youth,’ said his father, ‘I took to the law,
"
88966,"like them raw.’
"
73801,"‘How queer it seems,’ Alice said to herself, ‘to be going messages for
"
12007,"‘We had the best of educations--in fact, we went to school every day--’
"
20826,"Then the Queen left off, quite out of breath, and said to Alice, ‘Have
"
90133,"
"
50045,"However, everything is queer to-day.’
"
91755,"
"
40307,"
"
86677,"
"
19333,"
"
57096,"
"
80663,"in a natural way.
"
93892,"‘Certainly not!’ said Alice indignantly.
"
66003,"
"
43382,"time round, she came upon a low curtain she had not noticed before, and
"
46344,"told me he was going a journey, I should say “With what porpoise?”’
"
92946,"‘And that’s the jury-box,’ thought Alice, ‘and those twelve creatures,’
"
56269,"cupboards and book-shelves; here and there she saw maps and pictures
"
82480,"      mouse to the
"
19360,"‘Exactly so,’ said the Hatter: ‘as the things get used up.’
"
74485,"liked, so that it was not easy to know when the race was over. However,
"
99486,"Alice thought the whole thing very absurd, but they all looked so grave
"
84113,"make THEIR eyes bright and eager with many a strange tale, perhaps even
"
66847,"Alice said nothing; she had sat down with her face in her hands,
"
17537,"
"
53053,"witness.’ And he added in an undertone to the Queen, ‘Really, my dear,
"
69503,"
"
33768,"The Duchess took her choice, and was gone in a moment.
"
45879,"hastily.
"
46568,"
"
46132,"her life; it was all ridges and furrows; the balls were live hedgehogs,
"
83927,"rather a handsome pig, I think.’ And she began thinking over other
"
68038,"
"
83519,"
"
95601,"
"
42073,"When the procession came opposite to Alice, they all stopped and looked
"
12855,"to be done, I wonder?’ As she said this, she came suddenly upon an open
"
45876,"‘Anything you like,’ said the Footman, and began whistling.
"
63864,"‘I’ve tried the roots of trees, and I’ve tried banks, and I’ve tried
"
19825,"looking for it, while the rest of the party went back to the game.
"
43966,"‘Yes!’ shouted Alice.
"
77085,"growing, and she was quite surprised to find that she remained the same
"
15046,"a doze; but, on being pinched by the Hatter, it woke up again with
"
55923,"all. I needn’t be afraid of them!’
"
40590,"‘Swim after them!’ screamed the Gryphon.
"
16328,"‘Mary Ann! Mary Ann!’ said the voice. ‘Fetch me my gloves this moment!’
"
14973,"added the Gryphon; and then they both sat silent and looked at poor
"
44736,"
"
69615,"remained some time after the rest of it had gone.
"
45435,"they walked off together.
"
67292,"
"
48320,"‘Perhaps it hasn’t one,’ Alice ventured to remark.
"
88712,"
"
61768,"
"
98814,"hastily, for the White Rabbit cried out, ‘Silence in the court!’ and the
"
37279,"
"
59915,"listen, the whole place around her became alive with the strange creatures
"
90434,"There was not a moment to be lost: away went Alice like the wind, and
"
76632,"‘You couldn’t have wanted it much,’ said Alice; ‘living at the bottom of
"
83356,"This was such a new idea to Alice, that she was quite silent for a
"
32377,"
"
10152,"hand again, and made another snatch in the air. This time there were
"
79752,"‘Never!’ said the Queen furiously, throwing an inkstand at the Lizard
"
32085,"without a cat! It’s the most curious thing I ever saw in my life!’
"
25642,"‘Not a bit,’ said the Caterpillar.
"
20946,"in the middle, being held up by two guinea-pigs, who were giving it
"
42762,"trouble, you know, as we needn’t try to find any. And yet I don’t know,’
"
40449,"which the wretched Hatter trembled so, that he shook both his shoes off.
"
32449,"‘If you knew Time as well as I do,’ said the Hatter, ‘you wouldn’t talk
"
58054,"him,) ‘I’ll give him sixpence. _I_ don’t believe there’s an atom of
"
90034,"about in the wood, ‘is to grow to my right size again; and the second
"
44821,"Still she went on growing, and, as a last resource, she put one arm out
"
20540,"
"
99187,"         CHORUS.
"
43223,"by the time he had come back with the Duchess, it had entirely
"
87874,"   As a duck with its eyelids, so he with his nose
"
47473,"
"
17454,"that “I see what I eat” is the same thing as “I eat what I see”!’
"
92333,"business of MINE.’
"
62292,"
"
54682,"the pool, and the great hall, with the glass table and the little door,
"
27950,"‘Oh, as to the whiting,’ said the Mock Turtle, ‘they--you’ve seen them,
"
67262,"
"
72639,"notice this last remark.
"
41715,"‘How do you like the Queen?’ said the Cat in a low voice.
"
85555,"‘Boots and shoes under the sea,’ the Gryphon went on in a deep voice,
"
56906,"
"
18893,"like a mouse, you know. But do cats eat bats, I wonder?’ And here Alice
"
14849,"murder to leave it behind?’ She said the last words out loud, and the
"
79701,"
"
47148,"
"
32211,"
"
18573,"
"
24991,"shouldn’t be hungry for it, you know.’
"
85116,"‘I’m NOT a serpent!’ said Alice indignantly. ‘Let me alone!’
"
24718,"CHAPTER XII. Alice’s Evidence
"
98447,"“it” means.’
"
51036,"fetch it here, lad!--Here, put ‘em up at this corner--No, tie ‘em
"
81297,"but it said nothing.
"
66308,"
"
30629,"again, no wonder she felt unhappy.
"
15609,"So she sat on, with closed eyes, and half believed herself in
"
32304,"
"
24541,"in the direction it pointed to, without trying to explain the mistake it
"
88423,"sea, some children digging in the sand with wooden spades, then a row
"
20247,"  *    *    *    *    *    *    *
"
38867,"   Soo--oop of the e--e--evening,
"
70588,"Alice opened the door and found that it led into a small passage, not
"
77275,"
"
40880,"
"
65872,"
"
59023,"They very soon came upon a Gryphon, lying fast asleep in the sun.
"
81585,"
"
14217,"it was in March.’ As she said this, she looked up, and there was the Cat
"
35280,"
"
93284,"tears.
"
94814,"down the bottle, saying to herself ‘That’s quite enough--I hope I shan’t
"
22705,"
"
39954,"
"
40764,"‘She boxed the Queen’s ears--’ the Rabbit began. Alice gave a little
"
91530,"         ‘Fury said to a
"
68953,"‘Swim after them!’ screamed the Gryphon.
"
35528,"standing before them, in chains, with a soldier on each side to guard
"
89851,"otherwise, judging by his face only, she would have called him a
"
96882,"which the wretched Hatter trembled so, that he shook both his shoes off.
"
28707,"Once more she found herself in the long hall, and close to the little
"
89046,"things are “much of a muchness”--did you ever see such a thing as a
"
71970,"do well enough; don’t be particular--Here, Bill! catch hold of this
"
90431,"
"
17266,"well.
"
46642,"deep and reaching half down the hall.
"
72695,"    nothing
"
18188,"occasional exclamation of ‘Hjckrrh!’ from the Gryphon, and the constant
"
43782,"perhaps after all it might tell her something worth hearing. For some
"
44803,"The Queen’s argument was, that if something wasn’t done about it in less
"
38813,"Rabbit returning, splendidly dressed, with a pair of white kid gloves in
"
90959,"So Alice began telling them her adventures from the time when she first
"
52524,"sat down and cried.
"
58215,"
"
39321,"
"
75447,"about the whiting!’
"
73091,"or two, it was as much as she could do to hold it.
"
32320,"She ate a little bit, and said anxiously to herself, ‘Which way? Which
"
78356,"‘What trial is it?’ Alice panted as she ran; but the Gryphon only
"
48755,"       law: I will
"
51623,"her knowledge of history, Alice had no very clear notion how long ago
"
41188,"telescope.’
"
60998,"name like an honest man.’
"
38050,"
"
11759,"
"
38409,"and Alice looked round, eager to see the Queen.
"
57837,"‘Please would you tell me,’ said Alice, a little timidly, for she was
"
26973,"   Soo--oop of the e--e--evening,
"
41877,"
"
27354,"
"
82390,"the patriotic archbishop of Canterbury, found it advisable--“’
"
21478,"‘I’ll tell it her,’ said the Mock Turtle in a deep, hollow tone: ‘sit
"
98142,"‘Come on!’ cried the Gryphon, and, taking Alice by the hand, it hurried
"
48066,"
"
26782,"half to itself, half to Alice.
"
97727,"Alice started to her feet, for it flashed across her mind that she had
"
38937,"She was a good deal frightened by this very sudden change, but she felt
"
65137,"grow shorter.’
"
73668,"had made.
"
45438,"made up my mind about it; if I’m Mabel, I’ll stay down here! It’ll be no
"
23289,"fish)--and rapped loudly at the door with his knuckles. It was opened
"
84180,"‘any shrimp could have told you that.’
"
38444,"    ‘I kept all my limbs very supple
"
31119,"serpents! There’s no pleasing them!’
"
37118,"   Soup of the evening, beautiful Soup!
"
40829,"in the world she was to get out again.
"
52081,"to do next, when suddenly a footman in livery came running out of the
"
88987,"
"
72087,"home! Why, I wouldn’t say anything about it, even if I fell off the top
"
80624,"
"
18583,"
"
80737,"
"
25834,"that dark hall, and wander about among those beds of bright flowers and
"
90514,"
"
63902,"There was a table set out under a tree in front of the house, and the
"
25763,"Alice took up the fan and gloves, and, as the hall was very hot, she
"
65073,"
"
30287,"
"
99670,"Just then she heard something splashing about in the pool a little way
"
35262,"
"
25518,"before,’ said Alice,) and round the neck of the bottle was a paper
"
57074,"The Gryphon sat up and rubbed its eyes: then it watched the Queen till
"
75059,"head!’ Those whom she sentenced were taken into custody by the soldiers,
"
61198,"they lived at the bottom of a well--’
"
85817,"dry enough!’ They all sat down at once, in a large ring, with the Mouse
"
95289,"‘What do you know about this business?’ the King said to Alice.
"
21407,"
"
88749,"
"
71259,"CAN have happened to me! When I used to read fairy-tales, I fancied that
"
93824,"began picking them up again as quickly as she could, for the accident of
"
40920,"    I beat him when he sneezes;
"
86979," See how eagerly the lobsters and the turtles all advance!
"
71717,"
"
10531,"yours.”’
"
71809,"“it” means.’
"
30919,"
"
21345,"said the Duchess, as she tucked her arm affectionately into Alice’s, and
"
61308,"Alice did not at all like the tone of this remark, and thought it would
"
85700,"a deal too flustered to tell you--all I know is, something comes at me
"
60774,"and waited.
"
19085,"be growing small again.’ She got up and went to the table to measure
"
27412,"
"
97225,"So she called softly after it, ‘Mouse dear! Do come back again, and we
"
48818,"
"
60750,"
"
65185,"and sadly:--
"
98587,"YOUR temper!’ ‘Hold your tongue, Ma!’ said the young Crab, a little
"
22245,"advantage from the change: and Alice was a good deal worse off than
"
39919,"‘Nothing whatever,’ said Alice.
"
46966,"
"
89818,"Alice laughed so much at this, that she had to run back into the
"
23763,"you can find it.’ And she squeezed herself up closer to Alice’s side as
"
66437,"began. Alice thought she had never seen such a curious croquet-ground in
"
18330,"shouting ‘Off with his head!’ or ‘Off with her head!’ about once in a
"
51457,"in the middle. Alice kept her eyes anxiously fixed on it, for she felt
"
77054,"down on one knee. ‘I’m a poor man, your Majesty,’ he began.
"
78564,"
"
73165,"felt quite strange at first; but she got used to it in a few minutes,
"
59438,"
"
46708,"
"
89561,"
"
96094,"The Queen’s argument was, that if something wasn’t done about it in less
"
27366,"doesn’t like changing so often, you know.’
"
57352,"    Exactly as we were.
"
98662,"moment Five, who had been anxiously looking across the garden, called
"
52940," Will you, won’t you, will you, won’t you, won’t you join the dance?”’
"
13945,"‘Well, I never heard it before,’ said the Mock Turtle; ‘but it sounds
"
10224,"saying to herself ‘This is Bill,’ she gave one sharp kick, and waited to
"
99743,"
"
99259,"
"
48307,"
"
74072,"‘Not at first, perhaps,’ said the Hatter: ‘but you could keep it to
"
88291,"
"
71038,"  And will talk in contemptuous tones of the Shark,
"
27871,"
"
88350,"‘It proves nothing of the sort!’ said Alice. ‘Why, you don’t even know
"
98708,"
"
25426,"and added with a kind of sob, ‘I’ve tried every way, and nothing seems
"
92835,"generally a ridge or furrow in the way wherever she wanted to send the
"
49242,"   Soo--oop of the e--e--evening,
"
99340,"tittered audibly.
"
80180,"into the garden at once; but, alas for poor Alice! when she got to the
"
58076,"wish I’d gone to see the Hatter instead!’
"
88031,"
"
80191,"        prosecute
"
11917,"
"
32024,"‘They’re putting down their names,’ the Gryphon whispered in reply, ‘for
"
57470,"
"
64613,"    Involved in this affair,
"
37639,"way?’, holding her hand on the top of her head to feel which way it was
"
43593,"cucumber-frames there must be!’ thought Alice. ‘I wonder what they’ll do
"
79663,"‘I can’t go no lower,’ said the Hatter: ‘I’m on the floor, as it is.’
"
30484,"    Between yourself and me.’
"
69050,"
"
96905,"It was all very well to say ‘Drink me,’ but the wise little Alice was
"
92293,"faces, and the pattern on their backs was the same as the rest of the
"
14792,"‘I do,’ Alice hastily replied; ‘at least--at least I mean what I
"
16420,"make THEIR eyes bright and eager with many a strange tale, perhaps even
"
61483,"heavy sobs.
"
92041,"was trying to fix on one, the cook took the cauldron of soup off the
"
78196,"The Hatter opened his eyes very wide on hearing this; but all he SAID
"
71284,"Distraction, Uglification, and Derision.’
"
83003,"An enormous puppy was looking down at her with large round eyes, and
"
51340,"can’t prove I did: there’s no name signed at the end.’
"
41131,"There was nothing so VERY remarkable in that; nor did Alice think it so
"
90717,"fond of beheading people here; the great wonder is, that there’s any one
"
80533,"ringlets, and mine doesn’t go in ringlets at all; and I’m sure I can’t
"
36108,"
"
23228,"hot day made her feel very sleepy and stupid), whether the pleasure
"
81896,"the place of the March Hare. The Hatter was the only one who got any
"
50026,"
"
90469,"  While the Owl had the dish as its share of the treat.
"
11561,"along the course, here and there. There was no ‘One, two, three, and
"
95119,"So she sat on, with closed eyes, and half believed herself in
"
52425,"‘and then,’ thought she, ‘what would become of me? They’re dreadfully
"
86296,"
"
44155,"
"
90672,"
"
80150,"Alice, she went on, ‘What’s your name, child?’
"
56014,"
"
91697,"‘Perhaps it hasn’t one,’ Alice ventured to remark.
"
21350,"that the meeting adjourn, for the immediate adoption of more energetic
"
97591,"days and days.’
"
99355,"only been the right size to do it! Oh dear! I’d nearly forgotten that
"
50851,"‘Well, I never heard it before,’ said the Mock Turtle; ‘but it sounds
"
25990,"myself about you: you must manage the best way you can;--but I must be
"
21255,"‘Don’t be impertinent,’ said the King, ‘and don’t look at me like that!’
"
54054,"after that into a butterfly, I should think you’ll feel it a little
"
17830,"‘What a pity it wouldn’t stay!’ sighed the Lory, as soon as it was quite
"
87694,"animals and birds waiting outside. The poor little Lizard, Bill, was
"
60336,"‘HE might bite,’ Alice cautiously replied, not feeling at all anxious to
"
33528,"Lastly, she pictured to herself how this same little sister of hers
"
90867,"
"
96068,"leading right into it. ‘That’s very curious!’ she thought. ‘But
"
93806,"flower-pot that stood near. The three soldiers wandered about for a
"
48957,"
"
98678,"
"
61343,"drunk quite so much!’
"
20665,"
"
68056,"‘Oh, you’re sure to do that,’ said the Cat, ‘if you only walk long
"
99487,"on, as she heard the Queen’s voice in the distance, screaming with
"
96886,"‘Come on, then!’ roared the Queen, and Alice joined the procession,
"
84800,"to himself in an undertone,
"
50809,"
"
71120,"
"
28863,"and crept a little way out of the wood to listen.
"
81856,"she remembered having seen in her brother’s Latin Grammar, ‘A mouse--of
"
99159,"‘It’s the first position in dancing.’ Alice said; but was dreadfully
"
98780,"this bottle does. I do hope it’ll make me grow large again, for really
"
24755,"down! Heads below!’ (a loud crash)--‘Now, who did that?--It was Bill, I
"
13064,"This time Alice waited patiently until it chose to speak again. In
"
22665,"
"
38979,"slate with one finger, as he found it made no mark; but he now hastily
"
17142,"
"
65413,"
"
20967,"it ran away when it saw mine coming!’
"
29596,"Some of the jury wrote it down ‘important,’ and some ‘unimportant.’
"
69112,"one corner of it: ‘No room! No room!’ they cried out when they saw Alice
"
97964,"the back. At last the Mock Turtle recovered his voice, and, with tears
"
21246,"‘are done with a whiting. Now you know.’
"
28870,"
"
70478,"dry enough!’ They all sat down at once, in a large ring, with the Mouse
"
79049,"very queer indeed:--
"
34494,"Alice opened the door and found that it led into a small passage, not
"
97041,"
"
73570,"all its feet at once, with a yelp of delight, and rushed at the stick,
"
51757,"a kind of serpent, that’s all I can say.’
"
27190,"the moral of that is--“The more there is of mine, the less there is of
"
30555,"           you
"
88895,"‘You are not attending!’ said the Mouse to Alice severely. ‘What are you
"
42653,"won’t, then!--Bill’s to go down--Here, Bill! the master says you’re to
"
60100,"Alice had been all the way down one side and up the other, trying every
"
60316,"could.
"
53189,"        a trial,
"
56391,"
"
12161,"
"
67435,"
"
27375,"she looked up, but it was all dark overhead; before her was another
"
57431,"cucumber-frame, or something of the sort.
"
42775,"‘Write that down,’ the King said to the jury, and the jury eagerly
"
43176,"a little shriek, and went on: ‘--that begins with an M, such as
"
15440,"
"
17157,"        “I’ll be
"
22985,"to on the English coast you find a number of bathing machines in the
"
44683,"
"
71534,"
"
41743,"sea of green leaves that lay far below her.
"
56056,"to ask.
"
56531,"sat down and cried.
"
24142,"pack, she could not tell whether they were gardeners, or soldiers, or
"
70130,"its tongue hanging out of its mouth, and its great eyes half shut.
"
92326,"
"
12344,"   Game, or any other dish?
"
54257,"Just as she said this, she noticed that one of the trees had a door
"
22650,"
"
70477,"than no time she’d have everybody executed, all round. (It was this last
"
70143,"tone. ‘Nobody seems to like her, down here, and I’m sure she’s the best
"
60675,"the m--’
"
18436,"
"
29520,"‘Hush! Hush!’ said the Rabbit in a low, hurried tone. He looked
"
97370,"
"
65666,"contempt. ‘I’ve seen a good many little girls in my time, but never ONE
"
92205,"then the Rabbit’s voice along--‘Catch him, you by the hedge!’ then
"
95936,"their mouths--and they’re all over crumbs.’
"
80605,"‘I beg your pardon!’ said the Mouse, frowning, but very politely: ‘Did
"
59459,"       ‘Wow! wow! wow!’
"
36522,"thought Alice; ‘I might as well be at school at once.’ However, she
"
56897,"next! As for pulling me out of the window, I only wish they COULD! I’m
"
73933,"or Longitude I’ve got to?’ (Alice had no idea what Latitude was, or
"
86842,"
"
21623,"
"
61047,"
"
52288,"for apples, yer honour!’
"
25957,"
"
66108,"it to make it stop.
"
47026,"
"
30258,"
"
87260,"Oh dear! I shall be late!’ (when she thought it over afterwards, it
"
18164,"house, quite forgetting that she was now about a thousand times as large
"
22148,"‘Don’t you mean “purpose”?’ said Alice.
"
47031,"You know the song, perhaps?’
"
97761,"
"
52372,"
"
59488,"being drowned in my own tears! That WILL be a queer thing, to be sure!
"
20936,"
"
61157,"how to set about it; and while she was peering about anxiously among
"
81475,"
"
94061,"the Queen, who was passing at the moment, ‘My dear! I wish you would
"
44793,"It was high time to go, for the pool was getting quite crowded with the
"
53438,"  Was kindly permitted to pocket the spoon:
"
87464,"‘Don’t grunt,’ said Alice; ‘that’s not at all a proper way of expressing
"
69823,"of them.’ In another minute the whole head appeared, and then Alice put
"
81848,"on the song, ‘I’d have said to the porpoise, “Keep back, please: we
"
32270,"words all coming different, and then the Mock Turtle drew a long breath,
"
39644,"
"
88148,"
"
34985,"cupboards and book-shelves; here and there she saw maps and pictures
"
92542,"about the whiting!’
"
43000,"
"
89807,"CHAPTER X. The Lobster Quadrille
"
45102,"However, this bottle was NOT marked ‘poison,’ so Alice ventured to taste
"
73518,"At this moment the door of the house opened, and a large plate came
"
59288,"again, it was very provoking to find that the hedgehog had unrolled
"
22112,"‘You mean you can’t take LESS,’ said the Hatter: ‘it’s very easy to take
"
33406,"were nowhere to be found: all she could see, when she looked down, was
"
56106,"of the window, and one foot up the chimney, and said to herself ‘Now I
"
30220,"
"
56782,"
"
63849,"says it kills all the rats and--oh dear!’ cried Alice in a sorrowful
"
87373,"‘It must be a very pretty dance,’ said Alice timidly.
"
30444,"them out again. That’s all.’
"
12000,"‘stupid,’ and that he had to ask his neighbour to tell him. ‘A nice
"
19434,"nurse! But I’ve got to see that the mouse doesn’t get out.” Only I don’t
"
24772,"Five and Seven said nothing, but looked at Two. Two began in a low
"
76616,"haven’t had a wink of sleep these three weeks!’
"
32403,"get out again.
"
29257,"  The Panther took pie-crust, and gravy, and meat,
"
44905,"the whole she thought it would be quite as safe to stay with it as to go
"
10034,"a kind of serpent, that’s all I can say.’
"
30326,"‘I’ve a right to think,’ said Alice sharply, for she was beginning to
"
90789,"she waited patiently.
"
59865,"‘Well, then,’ the Cat went on, ‘you see, a dog growls when it’s angry,
"
88870,"The Gryphon lifted up both its paws in surprise. ‘What! Never heard of
"
27448,"‘No, no! The adventures first,’ said the Gryphon in an impatient tone:
"
58487,"
"
37558,"question is, what?’
"
61817,"
"
14111,"
"
49339,"faces, so that they couldn’t see it?’ So she stood still where she was,
"
65520,"being drowned in my own tears! That WILL be a queer thing, to be sure!
"
37308,"‘But they were IN the well,’ Alice said to the Dormouse, not choosing to
"
39657,"anxiously about as it went, as if it had lost something; and she heard
"
21287,"uglifying!’ it exclaimed. ‘You know what to beautify is, I suppose?’
"
93726,"‘important--unimportant--unimportant--important--’ as if he were trying
"
39641,"
"
70024,"    The pepper when he pleases!’
"
50035,"‘Chorus again!’ cried the Gryphon, and the Mock Turtle had just begun
"
70601,"
"
58668,"
"
52610,"
"
89737,"
"
28609,"‘And who is Dinah, if I might venture to ask the question?’ said the
"
80485,"This was such a new idea to Alice, that she was quite silent for a
"
11686,"
"
84681,"  *    *    *    *    *    *    *
"
68807,"she thought, and looked into its eyes again, to see if there were any
"
46233,"But here, to Alice’s great surprise, the Duchess’s voice died away, even
"
10389,"
"
27198,"
"
