id,person_id,original,japanese
95,78795,"came upon a neat little house, on the door of which was a bright brass
",
96,35311,"    Why, I do it again and again.’
",
97,52297,"         YOU.--Come,
",
98,60886,"then, when you’ve cleared all the jelly-fish out of the way--’
",
99,41914,"it trot away quietly into the wood. ‘If it had grown up,’ she said
",
100,22369,"thinking of?’
",
101,25814,"‘To begin with,’ said the Cat, ‘a dog’s not mad. You grant that?’
",
102,95491,"‘you shouldn’t have put it in with the bread-knife.’
",
103,36563,"‘You are not attending!’ said the Mouse to Alice severely. ‘What are you
",
104,89343,"them, they set to work very diligently to write out a history of the
",
105,14532,"
",
106,67045,"
",
107,97245,"sea, some children digging in the sand with wooden spades, then a row
",
108,83673,"‘Yes, it IS his business!’ said Five, ‘and I’ll tell him--it was for
",
109,55804,"leading right into it. ‘That’s very curious!’ she thought. ‘But
",
110,84819,"Alas! it was too late to wish that! She went on growing, and growing,
",
111,39426,"
",
112,54867,"‘Digging for apples, indeed!’ said the Rabbit angrily. ‘Here! Come and
",
113,29338,"that--only the March Hare said--’
",
114,60974,"‘They couldn’t have done that, you know,’ Alice gently remarked; ‘they’d
",
115,36829,"a little pattering of footsteps in the distance, and she looked up
",
116,93699,"
",
117,38006,"   A secret, kept from all the rest,
",
118,49286,"then a voice she had never heard before, ‘Sure then I’m here! Digging
",
119,68586,"
",
120,42818,"
",
121,12378,"
",
122,65815,"It’s enough to drive one crazy!’
",
123,22085,"
",
124,68889,"of being all alone here!’
",
125,92692,"In another moment down went Alice after it, never once considering how
",
126,65661,"I THINK I can kick a little!’
",
127,67825,"faces, so that they couldn’t see it?’ So she stood still where she was,
",
128,57774,"the place of the March Hare. The Hatter was the only one who got any
",
129,22894,"‘With extras?’ asked the Mock Turtle a little anxiously.
",
130,58039,"remembered that she still held the pieces of mushroom in her hands, and
",
131,26560,"croquet-ground.
",
132,37295,"‘I’m a poor man, your Majesty,’ the Hatter began, in a trembling voice,
",
133,24633,"and yawned once or twice, and shook itself. Then it got down off the
",
134,57922,"‘I do,’ Alice hastily replied; ‘at least--at least I mean what I
",
135,38822,"led into the garden. Then she went to work nibbling at the mushroom (she
",
136,26042,"‘Then it ought to be Number One,’ said Alice.
",
137,26673,"
",
138,15361,"on.’
",
139,12665,"uncomfortably sharp chin. However, she did not like to be rude, so she
",
140,96985,"nearly out of sight, he said in a deep voice, ‘What are tarts made of?’
",
141,60368,"
",
142,64955,"This piece of rudeness was more than Alice could bear: she got up in
",
143,56902,"know why it’s called a whiting?’
",
144,54218,"as “I sleep when I breathe”!’
",
145,43066,"
",
146,16959,"
",
147,41966,"
",
148,55484,"Then they all crowded round her once more, while the Dodo solemnly
",
149,95621,"of the cattle in the distance would take the place of the Mock Turtle’s
",
150,80651,"
",
151,41829,"
",
152,67630,"fear they should forget them before the end of the trial.’
",
153,44199,"
",
154,11522,"
",
155,20933,"
",
156,59678,"‘I said pig,’ replied Alice; ‘and I wish you wouldn’t keep appearing and
",
157,35613,"It’s enough to drive one crazy!’
",
158,71673,"(IF you don’t know what a Gryphon is, look at the picture.) ‘Up, lazy
",
159,87057,"
",
160,50862,"‘Of course not,’ said the Mock Turtle: ‘why, if a fish came to ME, and
",
161,69103,"
",
162,11120,"down in a large arm-chair at one end of the table.
",
163,94527,"blow with its head, it WOULD twist itself round and look up in her face,
",
164,96937,"            cause,
",
165,82144,"
",
166,97186,"for any lesson-books!’
",
167,76763,"
",
168,18034,"
",
169,12347,"‘Hadn’t time,’ said the Gryphon: ‘I went to the Classics master, though.
",
170,78440,"‘The lobsters!’ shouted the Gryphon, with a bound into the air.
",
171,57215,"Alice.
",
172,48233,"Suddenly she came upon a little three-legged table, all made of solid
",
173,18661,"led into the garden. Then she went to work nibbling at the mushroom (she
",
174,78861,"ear and left foot, so as to prevent its undoing itself,) she carried
",
175,35409,"it to make it stop.
",
176,81641,"Forty-two. ALL PERSONS MORE THAN A MILE HIGH TO LEAVE THE COURT.’
",
177,36560,"
",
178,96710,"anxiously round to see if he would deny it too: but the Dormouse denied
",
179,25872,"   ‘In my youth,’ said his father, ‘I took to the law,
",
180,88966,"like them raw.’
",
181,73801,"‘How queer it seems,’ Alice said to herself, ‘to be going messages for
",
182,12007,"‘We had the best of educations--in fact, we went to school every day--’
",
183,20826,"Then the Queen left off, quite out of breath, and said to Alice, ‘Have
",
184,90133,"
",
185,50045,"However, everything is queer to-day.’
",
186,91755,"
",
187,40307,"
",
188,86677,"
",
189,19333,"
",
190,57096,"
",
191,80663,"in a natural way.
",
192,93892,"‘Certainly not!’ said Alice indignantly.
",
193,66003,"
",
194,43382,"time round, she came upon a low curtain she had not noticed before, and
",
195,46344,"told me he was going a journey, I should say “With what porpoise?”’
",
196,92946,"‘And that’s the jury-box,’ thought Alice, ‘and those twelve creatures,’
",
197,56269,"cupboards and book-shelves; here and there she saw maps and pictures
",
198,82480,"      mouse to the
",
199,19360,"‘Exactly so,’ said the Hatter: ‘as the things get used up.’
",
200,74485,"liked, so that it was not easy to know when the race was over. However,
",
201,99486,"Alice thought the whole thing very absurd, but they all looked so grave
",
202,84113,"make THEIR eyes bright and eager with many a strange tale, perhaps even
",
203,66847,"Alice said nothing; she had sat down with her face in her hands,
",
204,17537,"
",
205,53053,"witness.’ And he added in an undertone to the Queen, ‘Really, my dear,
",
206,69503,"
",
207,33768,"The Duchess took her choice, and was gone in a moment.
",
208,45879,"hastily.
",
209,46568,"
",
210,46132,"her life; it was all ridges and furrows; the balls were live hedgehogs,
",
211,83927,"rather a handsome pig, I think.’ And she began thinking over other
",
212,68038,"
",
213,83519,"
",
214,95601,"
",
215,42073,"When the procession came opposite to Alice, they all stopped and looked
",
216,12855,"to be done, I wonder?’ As she said this, she came suddenly upon an open
",
217,45876,"‘Anything you like,’ said the Footman, and began whistling.
",
218,63864,"‘I’ve tried the roots of trees, and I’ve tried banks, and I’ve tried
",
219,19825,"looking for it, while the rest of the party went back to the game.
",
220,43966,"‘Yes!’ shouted Alice.
",
221,77085,"growing, and she was quite surprised to find that she remained the same
",
222,15046,"a doze; but, on being pinched by the Hatter, it woke up again with
",
223,55923,"all. I needn’t be afraid of them!’
",
224,40590,"‘Swim after them!’ screamed the Gryphon.
",
225,16328,"‘Mary Ann! Mary Ann!’ said the voice. ‘Fetch me my gloves this moment!’
",
226,14973,"added the Gryphon; and then they both sat silent and looked at poor
",
227,44736,"
",
228,69615,"remained some time after the rest of it had gone.
",
229,45435,"they walked off together.
",
230,67292,"
",
231,48320,"‘Perhaps it hasn’t one,’ Alice ventured to remark.
",
232,88712,"
",
233,61768,"
",
234,98814,"hastily, for the White Rabbit cried out, ‘Silence in the court!’ and the
",
235,37279,"
",
236,59915,"listen, the whole place around her became alive with the strange creatures
",
237,90434,"There was not a moment to be lost: away went Alice like the wind, and
",
238,76632,"‘You couldn’t have wanted it much,’ said Alice; ‘living at the bottom of
",
239,83356,"This was such a new idea to Alice, that she was quite silent for a
",
240,32377,"
",
241,10152,"hand again, and made another snatch in the air. This time there were
",
242,79752,"‘Never!’ said the Queen furiously, throwing an inkstand at the Lizard
",
243,32085,"without a cat! It’s the most curious thing I ever saw in my life!’
",
244,25642,"‘Not a bit,’ said the Caterpillar.
",
245,20946,"in the middle, being held up by two guinea-pigs, who were giving it
",
246,42762,"trouble, you know, as we needn’t try to find any. And yet I don’t know,’
",
247,40449,"which the wretched Hatter trembled so, that he shook both his shoes off.
",
248,32449,"‘If you knew Time as well as I do,’ said the Hatter, ‘you wouldn’t talk
",
249,58054,"him,) ‘I’ll give him sixpence. _I_ don’t believe there’s an atom of
",
250,90034,"about in the wood, ‘is to grow to my right size again; and the second
",
251,44821,"Still she went on growing, and, as a last resource, she put one arm out
",
252,20540,"
",
253,99187,"         CHORUS.
",
254,43223,"by the time he had come back with the Duchess, it had entirely
",
255,87874,"   As a duck with its eyelids, so he with his nose
",
256,47473,"
",
257,17454,"that “I see what I eat” is the same thing as “I eat what I see”!’
",
258,92333,"business of MINE.’
",
259,62292,"
",
260,54682,"the pool, and the great hall, with the glass table and the little door,
",
261,27950,"‘Oh, as to the whiting,’ said the Mock Turtle, ‘they--you’ve seen them,
",
262,67262,"
",
263,72639,"notice this last remark.
",
264,41715,"‘How do you like the Queen?’ said the Cat in a low voice.
",
265,85555,"‘Boots and shoes under the sea,’ the Gryphon went on in a deep voice,
",
266,56906,"
",
267,18893,"like a mouse, you know. But do cats eat bats, I wonder?’ And here Alice
",
268,14849,"murder to leave it behind?’ She said the last words out loud, and the
",
269,79701,"
",
270,47148,"
",
271,32211,"
",
272,18573,"
",
273,24991,"shouldn’t be hungry for it, you know.’
",
274,85116,"‘I’m NOT a serpent!’ said Alice indignantly. ‘Let me alone!’
",
275,24718,"CHAPTER XII. Alice’s Evidence
",
276,98447,"“it” means.’
",
277,51036,"fetch it here, lad!--Here, put ‘em up at this corner--No, tie ‘em
",
278,81297,"but it said nothing.
",
279,66308,"
",
280,30629,"again, no wonder she felt unhappy.
",
281,15609,"So she sat on, with closed eyes, and half believed herself in
",
282,32304,"
",
283,24541,"in the direction it pointed to, without trying to explain the mistake it
",
284,88423,"sea, some children digging in the sand with wooden spades, then a row
",
285,20247,"  *    *    *    *    *    *    *
",
286,38867,"   Soo--oop of the e--e--evening,
",
287,70588,"Alice opened the door and found that it led into a small passage, not
",
288,77275,"
",
289,40880,"
",
290,65872,"
",
291,59023,"They very soon came upon a Gryphon, lying fast asleep in the sun.
",
292,81585,"
",
293,14217,"it was in March.’ As she said this, she looked up, and there was the Cat
",
294,35280,"
",
295,93284,"tears.
",
296,94814,"down the bottle, saying to herself ‘That’s quite enough--I hope I shan’t
",
297,22705,"
",
298,39954,"
",
299,40764,"‘She boxed the Queen’s ears--’ the Rabbit began. Alice gave a little
",
300,91530,"         ‘Fury said to a
",
301,68953,"‘Swim after them!’ screamed the Gryphon.
",
302,35528,"standing before them, in chains, with a soldier on each side to guard
",
303,89851,"otherwise, judging by his face only, she would have called him a
",
304,96882,"which the wretched Hatter trembled so, that he shook both his shoes off.
",
305,28707,"Once more she found herself in the long hall, and close to the little
",
306,89046,"things are “much of a muchness”--did you ever see such a thing as a
",
307,71970,"do well enough; don’t be particular--Here, Bill! catch hold of this
",
308,90431,"
",
309,17266,"well.
",
310,46642,"deep and reaching half down the hall.
",
311,72695,"    nothing
",
312,18188,"occasional exclamation of ‘Hjckrrh!’ from the Gryphon, and the constant
",
313,43782,"perhaps after all it might tell her something worth hearing. For some
",
314,44803,"The Queen’s argument was, that if something wasn’t done about it in less
",
315,38813,"Rabbit returning, splendidly dressed, with a pair of white kid gloves in
",
316,90959,"So Alice began telling them her adventures from the time when she first
",
317,52524,"sat down and cried.
",
318,58215,"
",
319,39321,"
",
320,75447,"about the whiting!’
",
321,73091,"or two, it was as much as she could do to hold it.
",
322,32320,"She ate a little bit, and said anxiously to herself, ‘Which way? Which
",
323,78356,"‘What trial is it?’ Alice panted as she ran; but the Gryphon only
",
324,48755,"       law: I will
",
325,51623,"her knowledge of history, Alice had no very clear notion how long ago
",
326,41188,"telescope.’
",
327,60998,"name like an honest man.’
",
328,38050,"
",
329,11759,"
",
330,38409,"and Alice looked round, eager to see the Queen.
",
331,57837,"‘Please would you tell me,’ said Alice, a little timidly, for she was
",
332,26973,"   Soo--oop of the e--e--evening,
",
333,41877,"
",
334,27354,"
",
335,82390,"the patriotic archbishop of Canterbury, found it advisable--“’
",
336,21478,"‘I’ll tell it her,’ said the Mock Turtle in a deep, hollow tone: ‘sit
",
337,98142,"‘Come on!’ cried the Gryphon, and, taking Alice by the hand, it hurried
",
338,48066,"
",
339,26782,"half to itself, half to Alice.
",
340,97727,"Alice started to her feet, for it flashed across her mind that she had
",
341,38937,"She was a good deal frightened by this very sudden change, but she felt
",
342,65137,"grow shorter.’
",
343,73668,"had made.
",
344,45438,"made up my mind about it; if I’m Mabel, I’ll stay down here! It’ll be no
",
345,23289,"fish)--and rapped loudly at the door with his knuckles. It was opened
",
346,84180,"‘any shrimp could have told you that.’
",
347,38444,"    ‘I kept all my limbs very supple
",
348,31119,"serpents! There’s no pleasing them!’
",
349,37118,"   Soup of the evening, beautiful Soup!
",
350,40829,"in the world she was to get out again.
",
351,52081,"to do next, when suddenly a footman in livery came running out of the
",
352,88987,"
",
353,72087,"home! Why, I wouldn’t say anything about it, even if I fell off the top
",
354,80624,"
",
355,18583,"
",
356,80737,"
",
357,25834,"that dark hall, and wander about among those beds of bright flowers and
",
358,90514,"
",
359,63902,"There was a table set out under a tree in front of the house, and the
",
360,25763,"Alice took up the fan and gloves, and, as the hall was very hot, she
",
361,65073,"
",
362,30287,"
",
363,99670,"Just then she heard something splashing about in the pool a little way
",
364,35262,"
",
365,25518,"before,’ said Alice,) and round the neck of the bottle was a paper
",
366,57074,"The Gryphon sat up and rubbed its eyes: then it watched the Queen till
",
367,75059,"head!’ Those whom she sentenced were taken into custody by the soldiers,
",
368,61198,"they lived at the bottom of a well--’
",
369,85817,"dry enough!’ They all sat down at once, in a large ring, with the Mouse
",
370,95289,"‘What do you know about this business?’ the King said to Alice.
",
371,21407,"
",
372,88749,"
",
373,71259,"CAN have happened to me! When I used to read fairy-tales, I fancied that
",
374,93824,"began picking them up again as quickly as she could, for the accident of
",
375,40920,"    I beat him when he sneezes;
",
376,86979," See how eagerly the lobsters and the turtles all advance!
",
377,71717,"
",
378,10531,"yours.”’
",
379,71809,"“it” means.’
",
380,30919,"
",
381,21345,"said the Duchess, as she tucked her arm affectionately into Alice’s, and
",
382,61308,"Alice did not at all like the tone of this remark, and thought it would
",
383,85700,"a deal too flustered to tell you--all I know is, something comes at me
",
384,60774,"and waited.
",
385,19085,"be growing small again.’ She got up and went to the table to measure
",
386,27412,"
",
387,97225,"So she called softly after it, ‘Mouse dear! Do come back again, and we
",
388,48818,"
",
389,60750,"
",
390,65185,"and sadly:--
",
391,98587,"YOUR temper!’ ‘Hold your tongue, Ma!’ said the young Crab, a little
",
392,22245,"advantage from the change: and Alice was a good deal worse off than
",
393,39919,"‘Nothing whatever,’ said Alice.
",
394,46966,"
",
395,89818,"Alice laughed so much at this, that she had to run back into the
",
396,23763,"you can find it.’ And she squeezed herself up closer to Alice’s side as
",
397,66437,"began. Alice thought she had never seen such a curious croquet-ground in
",
398,18330,"shouting ‘Off with his head!’ or ‘Off with her head!’ about once in a
",
399,51457,"in the middle. Alice kept her eyes anxiously fixed on it, for she felt
",
400,77054,"down on one knee. ‘I’m a poor man, your Majesty,’ he began.
",
401,78564,"
",
402,73165,"felt quite strange at first; but she got used to it in a few minutes,
",
403,59438,"
",
404,46708,"
",
405,89561,"
",
406,96094,"The Queen’s argument was, that if something wasn’t done about it in less
",
407,27366,"doesn’t like changing so often, you know.’
",
408,57352,"    Exactly as we were.
",
409,98662,"moment Five, who had been anxiously looking across the garden, called
",
410,52940," Will you, won’t you, will you, won’t you, won’t you join the dance?”’
",
411,13945,"‘Well, I never heard it before,’ said the Mock Turtle; ‘but it sounds
",
412,10224,"saying to herself ‘This is Bill,’ she gave one sharp kick, and waited to
",
413,99743,"
",
414,99259,"
",
415,48307,"
",
416,74072,"‘Not at first, perhaps,’ said the Hatter: ‘but you could keep it to
",
417,88291,"
",
418,71038,"  And will talk in contemptuous tones of the Shark,
",
419,27871,"
",
420,88350,"‘It proves nothing of the sort!’ said Alice. ‘Why, you don’t even know
",
421,98708,"
",
422,25426,"and added with a kind of sob, ‘I’ve tried every way, and nothing seems
",
423,92835,"generally a ridge or furrow in the way wherever she wanted to send the
",
424,49242,"   Soo--oop of the e--e--evening,
",
425,99340,"tittered audibly.
",
426,80180,"into the garden at once; but, alas for poor Alice! when she got to the
",
427,58076,"wish I’d gone to see the Hatter instead!’
",
428,88031,"
",
429,80191,"        prosecute
",
430,11917,"
",
431,32024,"‘They’re putting down their names,’ the Gryphon whispered in reply, ‘for
",
432,57470,"
",
433,64613,"    Involved in this affair,
",
434,37639,"way?’, holding her hand on the top of her head to feel which way it was
",
435,43593,"cucumber-frames there must be!’ thought Alice. ‘I wonder what they’ll do
",
436,79663,"‘I can’t go no lower,’ said the Hatter: ‘I’m on the floor, as it is.’
",
437,30484,"    Between yourself and me.’
",
438,69050,"
",
439,96905,"It was all very well to say ‘Drink me,’ but the wise little Alice was
",
440,92293,"faces, and the pattern on their backs was the same as the rest of the
",
441,14792,"‘I do,’ Alice hastily replied; ‘at least--at least I mean what I
",
442,16420,"make THEIR eyes bright and eager with many a strange tale, perhaps even
",
443,61483,"heavy sobs.
",
444,92041,"was trying to fix on one, the cook took the cauldron of soup off the
",
445,78196,"The Hatter opened his eyes very wide on hearing this; but all he SAID
",
446,71284,"Distraction, Uglification, and Derision.’
",
447,83003,"An enormous puppy was looking down at her with large round eyes, and
",
448,51340,"can’t prove I did: there’s no name signed at the end.’
",
449,41131,"There was nothing so VERY remarkable in that; nor did Alice think it so
",
450,90717,"fond of beheading people here; the great wonder is, that there’s any one
",
451,80533,"ringlets, and mine doesn’t go in ringlets at all; and I’m sure I can’t
",
452,36108,"
",
453,23228,"hot day made her feel very sleepy and stupid), whether the pleasure
",
454,81896,"the place of the March Hare. The Hatter was the only one who got any
",
455,50026,"
",
456,90469,"  While the Owl had the dish as its share of the treat.
",
457,11561,"along the course, here and there. There was no ‘One, two, three, and
",
458,95119,"So she sat on, with closed eyes, and half believed herself in
",
459,52425,"‘and then,’ thought she, ‘what would become of me? They’re dreadfully
",
460,86296,"
",
461,44155,"
",
462,90672,"
",
463,80150,"Alice, she went on, ‘What’s your name, child?’
",
464,56014,"
",
465,91697,"‘Perhaps it hasn’t one,’ Alice ventured to remark.
",
466,21350,"that the meeting adjourn, for the immediate adoption of more energetic
",
467,97591,"days and days.’
",
468,99355,"only been the right size to do it! Oh dear! I’d nearly forgotten that
",
469,50851,"‘Well, I never heard it before,’ said the Mock Turtle; ‘but it sounds
",
470,25990,"myself about you: you must manage the best way you can;--but I must be
",
471,21255,"‘Don’t be impertinent,’ said the King, ‘and don’t look at me like that!’
",
472,54054,"after that into a butterfly, I should think you’ll feel it a little
",
473,17830,"‘What a pity it wouldn’t stay!’ sighed the Lory, as soon as it was quite
",
474,87694,"animals and birds waiting outside. The poor little Lizard, Bill, was
",
475,60336,"‘HE might bite,’ Alice cautiously replied, not feeling at all anxious to
",
476,33528,"Lastly, she pictured to herself how this same little sister of hers
",
477,90867,"
",
478,96068,"leading right into it. ‘That’s very curious!’ she thought. ‘But
",
479,93806,"flower-pot that stood near. The three soldiers wandered about for a
",
480,48957,"
",
481,98678,"
",
482,61343,"drunk quite so much!’
",
483,20665,"
",
484,68056,"‘Oh, you’re sure to do that,’ said the Cat, ‘if you only walk long
",
485,99487,"on, as she heard the Queen’s voice in the distance, screaming with
",
486,96886,"‘Come on, then!’ roared the Queen, and Alice joined the procession,
",
487,84800,"to himself in an undertone,
",
488,50809,"
",
489,71120,"
",
490,28863,"and crept a little way out of the wood to listen.
",
491,81856,"she remembered having seen in her brother’s Latin Grammar, ‘A mouse--of
",
492,99159,"‘It’s the first position in dancing.’ Alice said; but was dreadfully
",
493,98780,"this bottle does. I do hope it’ll make me grow large again, for really
",
494,24755,"down! Heads below!’ (a loud crash)--‘Now, who did that?--It was Bill, I
",
495,13064,"This time Alice waited patiently until it chose to speak again. In
",
496,22665,"
",
497,38979,"slate with one finger, as he found it made no mark; but he now hastily
",
498,17142,"
",
499,65413,"
",
500,20967,"it ran away when it saw mine coming!’
",
501,29596,"Some of the jury wrote it down ‘important,’ and some ‘unimportant.’
",
502,69112,"one corner of it: ‘No room! No room!’ they cried out when they saw Alice
",
503,97964,"the back. At last the Mock Turtle recovered his voice, and, with tears
",
504,21246,"‘are done with a whiting. Now you know.’
",
505,28870,"
",
506,70478,"dry enough!’ They all sat down at once, in a large ring, with the Mouse
",
507,79049,"very queer indeed:--
",
508,34494,"Alice opened the door and found that it led into a small passage, not
",
509,97041,"
",
510,73570,"all its feet at once, with a yelp of delight, and rushed at the stick,
",
511,51757,"a kind of serpent, that’s all I can say.’
",
512,27190,"the moral of that is--“The more there is of mine, the less there is of
",
513,30555,"           you
",
514,88895,"‘You are not attending!’ said the Mouse to Alice severely. ‘What are you
",
515,42653,"won’t, then!--Bill’s to go down--Here, Bill! the master says you’re to
",
516,60100,"Alice had been all the way down one side and up the other, trying every
",
517,60316,"could.
",
518,53189,"        a trial,
",
519,56391,"
",
520,12161,"
",
521,67435,"
",
522,27375,"she looked up, but it was all dark overhead; before her was another
",
523,57431,"cucumber-frame, or something of the sort.
",
524,42775,"‘Write that down,’ the King said to the jury, and the jury eagerly
",
525,43176,"a little shriek, and went on: ‘--that begins with an M, such as
",
526,15440,"
",
527,17157,"        “I’ll be
",
528,22985,"to on the English coast you find a number of bathing machines in the
",
529,44683,"
",
530,71534,"
",
531,41743,"sea of green leaves that lay far below her.
",
532,56056,"to ask.
",
533,56531,"sat down and cried.
",
534,24142,"pack, she could not tell whether they were gardeners, or soldiers, or
",
535,70130,"its tongue hanging out of its mouth, and its great eyes half shut.
",
536,92326,"
",
537,12344,"   Game, or any other dish?
",
538,54257,"Just as she said this, she noticed that one of the trees had a door
",
539,22650,"
",
540,70477,"than no time she’d have everybody executed, all round. (It was this last
",
541,70143,"tone. ‘Nobody seems to like her, down here, and I’m sure she’s the best
",
542,60675,"the m--’
",
543,18436,"
",
544,29520,"‘Hush! Hush!’ said the Rabbit in a low, hurried tone. He looked
",
545,97370,"
",
546,65666,"contempt. ‘I’ve seen a good many little girls in my time, but never ONE
",
547,92205,"then the Rabbit’s voice along--‘Catch him, you by the hedge!’ then
",
548,95936,"their mouths--and they’re all over crumbs.’
",
549,80605,"‘I beg your pardon!’ said the Mouse, frowning, but very politely: ‘Did
",
550,59459,"       ‘Wow! wow! wow!’
",
551,36522,"thought Alice; ‘I might as well be at school at once.’ However, she
",
552,56897,"next! As for pulling me out of the window, I only wish they COULD! I’m
",
553,73933,"or Longitude I’ve got to?’ (Alice had no idea what Latitude was, or
",
554,86842,"
",
555,21623,"
",
556,61047,"
",
557,52288,"for apples, yer honour!’
",
558,25957,"
",
559,66108,"it to make it stop.
",
560,47026,"
",
561,30258,"
",
562,87260,"Oh dear! I shall be late!’ (when she thought it over afterwards, it
",
563,18164,"house, quite forgetting that she was now about a thousand times as large
",
564,22148,"‘Don’t you mean “purpose”?’ said Alice.
",
565,47031,"You know the song, perhaps?’
",
566,97761,"
",
567,52372,"
",
568,59488,"being drowned in my own tears! That WILL be a queer thing, to be sure!
",
569,20936,"
",
570,61157,"how to set about it; and while she was peering about anxiously among
",
571,81475,"
",
572,94061,"the Queen, who was passing at the moment, ‘My dear! I wish you would
",
573,44793,"It was high time to go, for the pool was getting quite crowded with the
",
574,53438,"  Was kindly permitted to pocket the spoon:
",
575,87464,"‘Don’t grunt,’ said Alice; ‘that’s not at all a proper way of expressing
",
576,69823,"of them.’ In another minute the whole head appeared, and then Alice put
",
577,81848,"on the song, ‘I’d have said to the porpoise, “Keep back, please: we
",
578,32270,"words all coming different, and then the Mock Turtle drew a long breath,
",
579,39644,"
",
580,88148,"
",
581,34985,"cupboards and book-shelves; here and there she saw maps and pictures
",
582,92542,"about the whiting!’
",
583,43000,"
",
584,89807,"CHAPTER X. The Lobster Quadrille
",
