id,original,japanese
358,See how it runs! See how it runs!,それがいかに走るか見よ！それがいかに走るか見よ！
359,-- Eleanor Roosevelt,-- エレノア・ルーズベルト
360,Signs of crime: screaming or cries for help.,犯罪の兆候：絶叫または助けを求める叫び声。
361,Never let your child play with a loaded carp.,子供に装填済みの鯉で遊ばせるな。
362,It was a book to kill time for those who liked it better dead.,それは、死んだ方がましだと思う人々のための時間つぶしの本だった。
363,The IQ of the group is the lowest IQ of a member of the group divided,グループのIQは、グループのメンバーの最低IQを
364,Shining with all his might:,力の限り輝いて：
365,Silverman's Law:,シルバーマンの法則：
366,Beware of low-flying butterflies.,低空飛行する蝶に注意。
367,Don't go surfing in South Dakota for a while.,しばらくサウスダコタでサーフィンをするな。
368,him up.,彼を。
369,Electrocution: Burning at the stake with all the modern improvements.,電気処刑：すべての現代的な改良が施された火あぶり。
370,Whether you can hear it or not,,あなたがそれを聞くことができるかどうかは
371,"""Like a bowl of sour cream?"" asked the other. ""Why?""",「サワークリームのボウルのように？」と他方が尋ねた。「なぜ？」
372,"Stop searching. Happiness is right next to you. Now, if they'd only","探すのをやめなさい。幸福はあなたのすぐ隣にある。さて、もし彼らがただ"
373,But the good ones I've seen,,しかし、私が見た良いものは
374,43rd Law of Computing:,コンピューティングの第43法則：
375,Things will be bright in P.M. A cop will shine a light in your face.,午後は明るくなるだろう。警官があなたの顔にライトを当てるから。
376,WHERE CAN THE MATTER BE,,一体どうしたのだろう
377,99 blocks of crud!,99ブロックのゴミ！
378,-- Finley Peter Dunne (Mr. Dooley),-- フィンリー・ピーター・ダン（ミスター・ドゥーリー）
379,"Real Programmers never work 9 to 5. If any real programmers are around a 9 AM,","本物のプログラマーは9時から5時まで働かない。もし本物のプログラマーが午前9時頃にいるなら"
380,It is easier to get forgiveness than permission.,許可を得るより許しを得る方が簡単だ。
381,"Anarchy may not be the best form of government, but it's better than no","無政府状態は最良の統治形態ではないかもしれないが、"
382,Absentee: A person with an income who has had the forethought to remove,不在者：収入があり、"
383,Excellent time to become a missing person.,行方不明者になる絶好の機会。
384,I think it stupid of the Pig.,豚の愚かさだと思う。
385,Love at first sight is one of the greatest labor-saving devices the,一目惚れは、"
386,A: 33. 1 to hold the bits and 32 to push the register.,A: 33人。1人がビットを持ち、32人がレジスタを押す。
387,"Alexander Graham Bell is alive and well in New York, and still waiting","アレクサンダー・グラハム・ベルはニューヨークで健在で、まだ"
388,In a chronodimensional skip.,時空間スキップの中で。
389,"If at first you don't succeed, give up, no use being a damn fool.","最初で成功しないなら、諦めろ。とんでもない馬鹿になる必要はない。"
390,He looked at me as if I was a side dish he hadn't ordered.,彼は、注文していない付け合わせでも見るかのように私を見た。
391,But this output can be,,しかし、この出力は
392,affairs has always been dominant and controlling.,事柄は常に支配的で制御的であった。
393,"""I just need enough to tide me over until I need more.""","「もっと必要になるまで、乗り切るのに十分なだけ必要だ。」"
394,"Space is big. You just won't believe how vastly, hugely, mind-","宇宙は大きい。あなたはそれがどれほど広大で、巨大で、心を"
395,in students.,学生たちの中に。
396,You worry too much about your job. Stop it. You are not paid enough,あなたは仕事のことで心配しすぎだ。やめなさい。あなたは十分に給料をもらっていない。
397,Real Programmers don't write application programs; they program right down on,本物のプログラマーはアプリケーションプログラムを書かない。彼らは
398,Today is the tomorrow you worried about yesterday,,今日は、昨日あなたが心配していた明日だ。
399,"God isn't dead, he just couldn't find a parking place.",神は死んでいない、ただ駐車スペースを見つけられなかっただけだ。
400,Eggheads unite! You have nothing to lose but your yolks.,インテリよ、団結せよ！失うものは君たちの黄身（yolks=yokes=束縛）だけだ。
401,"Is it possible that software is not like anything else, that it is","ソフトウェアが他の何物とも似ておらず、それが"
402,They're only trying to make me LOOK paranoid!,彼らは私を偏執病に見せようとしているだけだ！
403,One good reason why computers can do more work than people is that they,コンピュータが人間より多くの仕事をこなせる一つの良い理由は、彼らが
404,shoes.,靴。
405,really make them think they'll hate you.,本当に考えさせると、彼らはあなたを嫌うだろう。
406,change.,変化。
407,Children are natural mimic who act like their parents despite every,子供は、
408,Lunatic Asylum: The place where optimism most flourishes.,精神病院：楽観主義が最も栄える場所。
409,Good news. Ten weeks from Friday will be a pretty good day.,良い知らせ。金曜日から10週間後は、かなり良い日になるだろう。
410,Chicken Little was right.,チキン・リトルは正しかった。
411,Van Roy's Law:,ヴァン・ロイの法則：
412,-- Foolish Dictionary,-- 愚者の辞書
413,I'll never see a tree at all.,私は木を全く見ることがないだろう。
414,"If you have a procedure with 10 parameters, you probably missed some.","もし10個のパラメータを持つプロシージャがあるなら、おそらくいくつか見逃している。"
415,"If you hit two keys on the typewriter, the one you don't want","タイプライターで2つのキーを打つと、望まない方が"
416,We wish you a Hare Krishna,,ハレ・クリシュナをお祈りします。
417,at the steam fitters' picnic.,蒸気配管工のピクニックで。
418,"There is only one thing in the world worse than being talked about, and","世の中で噂されることより悪いことは一つしかない。そしてそれは"
419,A year spent in artificial intelligence is enough to make one believe,人工知能に一年費やせば、
420,Take not a single bit!,1ビットたりとも取るな！
421,Things are more like they used to be than they are now.,物事は今よりも昔のようになっている。
422,automation?,自動化？
423,"Message will arrive in the mail. Destroy, before the FBI sees it.","メッセージが郵便で届く。FBIに見られる前に破壊せよ。"
424,Beware of the Turing Tar-pit in which everything is possible but,すべてが可能だが、
425,it.,それ。
426,You're being followed. Cut out the hanky-panky for a few days.,あなたは尾行されている。数日間はいかがわしい行為をやめなさい。
427,"coughing.""","咳き込んでいる。」"
428,-- Elbert Hubbard,-- エルバート・ハバード
429,"As Will Rogers would have said, ""There is no such things as a free","ウィル・ロジャースが言ったように、「無料の"
430,-- George Saunders' dying words,-- ジョージ・サンダースの最期の言葉
431,"A Lisp programmer knows the value of everything, but the cost of","LISPプログラマーはすべての価値を知っているが、そのコストは"
432,The Universe is laughing behind your back,,宇宙はあなたの背後で笑っている。
433,Kinkler's Second Law:,クリンクラーの第二法則：
434,Cleveland still lives. God _m_u_s_t be dead.,クリーブランドはまだ生きている。神は死んだに違いない。
435,"Real Programmers don't comment their code. If it was hard to write, it should","本物のプログラマーはコードにコメントをしない。書くのが難しかったのなら、"
436,"A bachelor is a selfish, undeserving guy who has cheated some woman","独身者とは、ある女性を"
437,When it's converted to energy?,それがエネルギーに変換されるとき？
438,"""Why be a man when you can be a success?""",「成功できるのに、なぜ男でいる必要がある？」
439,UFO's are for real: the Air Force doesn't exist.,UFOは実在する。空軍は存在しない。
440,-- Herbert Hoover,-- ハーバート・フーバー
441,pedestrians.,歩行者。
442,Never put off till tomorrow what you can avoid all together.,完全に避けられることを、明日に延ばすな。
443,"He said, ""Yes, I know.",彼は言った、「ああ、知っているよ」
444,miss,,見逃す。
445,"The mouse on the m""obius strip;","メビウスの輪の上のネズミ"
446,She missed an invaluable opportunity to give him a look that you could,彼女は彼に、
447,Arithmetic is being able to count up to twenty without taking off your,算数とは、"
448,"The Law, in its majestic equality, forbids the rich, as well as the","法は、その荘厳な平等において、富める者にも"
449,A new hydrocarbon,,新しい炭化水素
450,"Man Invented Alcohol,",人間はアルコールを発明した。
451,as afterward.,後からよりも。
452,-- Pope John Paul I,-- ヨハネ・パウロ1世
453,"The best book on programming for the layman is ""Alice in Wonderland"";","素人のためのプログラミングに関する最高の本は『不思議の国のアリス』だ。"
454,Fine day to throw a party. Throw him as far as you can.,パーティーを開くには良い日だ。彼をできるだけ遠くに投げ飛ばせ。
455,"eyes...""","目…」"
456,Don't feed the bats tonight.,今夜はコウモリに餌をやらないで。
457,Q: How many Oregonians does it take to screw in a light bulb?,Q: 電球を交換するのに、オレゴン州民は何人必要か？
458,the way.,その道を。
459,"When you do not know what you are doing, do it neatly.",何をしているかわからないときは、きれいにやれ。
460,computer science languages. Strong typing is for people with weak memories.,コンピュータ科学の言語。強い型付けは記憶力の弱い人々のためのものだ。
461,>from where you left them to where you can't find them.,あなたが置いた場所から、見つけられない場所へ。
462,"""Who cares if it doesn't do anything? It was made with our new","「何もしなくても誰が気にする？これは我々の新しい"
463,Xerox does it again and again and again and ...,ゼロックスはそれを何度も何度も何度も…
464,"Waiter: ""Two teas. Which one asked for the clean glass?""",ウェイター：「紅茶二つ。きれいなグラスを頼んだのはどちら様ですか？」
465,for a dial tone.,ダイヤルトーンを求めて。
466,-- Dorothy Parker,-- ドロシー・パーカー
467,and then pulled an all-nighter.,そして徹夜した。
468,-- John Ciardi,-- ジョン・チアルディ
469,And a Sun Myung Moon!,そしてサン・ミョン・ムーン（文鮮明）！
470,The middle of the night.,真夜中。
471,Underlying Principle of Socio-Genetics:,社会遺伝学の根本原理：
472,"According to the latest official figures, 43% of all statistics are",最新の公式数値によると、全統計の43%は
473,nothing.,何もない。
474,-- Arthur Naiman,-- アーサー・ナイマン
475,to reform.,改革するために。
476,A closed mouth gathers no foot.,口を閉ざしていれば、足は集まらない。（口は災いの元）
477,Death: to stop sinning suddenly.,死：突然罪を犯すのをやめること。
478,nothing of interest is easy.,興味深いものは何も簡単ではない。
479,"If God is perfect, why did He create discontinuous functions?",もし神が完全なら、なぜ不連続関数を創造されたのか？
480,every six months.,6ヶ月ごとに。
481,"road to the drug store, but that's just peanuts to space.","薬局への道は遠いかもしれないが、宇宙に比べればピーナッツみたいなものだ。"
482,"1) ""Don't worry, I can handle it.""","1) 「心配するな、俺が何とかする」"
483,otherwise require harder thinking.,さもなければ、より難しい思考を必要とする。
484,Artistic ventures highlighted. Rob a museum.,芸術的な冒険が注目される。美術館を襲え。
485,Take heart amid the deepening gloom that your dog is finally getting,深まる憂鬱の中で、あなたの犬がようやく
486,"""There are three possibilities: Pioneer's solar panel has turned away","「可能性は三つある。パイオニアの太陽電池パネルが"
487,"No more than debris,",瓦礫にすぎない
488,mistake when you make it again.,再び同じ間違いを犯したときに。
489,At the source of every error which is blamed on the computer you will,コンピュータのせいにされるすべてのエラーの根源には、
490,First Rule of History:,歴史の第一法則：
491,-- Thomas Jefferson,-- トーマス・ジェファーソン
492,"""Here at the Phone Company, we serve all kinds of people; from","「ここ電話会社では、あらゆる種類の人々にサービスを提供しています。"
493,Keep America beautiful. Swallow your beer cans.,アメリカを美しく保とう。ビール缶を飲み込め。
494,"Waiter: ""Tea or coffee, gentlemen?""",ウェイター：「紅茶かコーヒー、どちらになさいますか？」
495,I wish that they would sell it.,彼らがそれを売ってくれればいいのに。
496,What this country needs is a good five-cent nickel.,この国に必要なのは、良質な5セントのニッケル硬貨だ。
497,"World War IV will be fought with sticks and stones.""","第四次世界大戦は棒と石で戦われるだろう。」"
498,Electrical Engineers do it with less resistance.,電気技術者はより少ない抵抗でやる。
499,will find the programmers cannot write in English.,プログラマーが英語で書けないことを見つけるだろう。
500,dispel a source of error in an opponent.,相手のエラーの原因を取り除くこと。
501,"If the odds are a million to one against something occurring, chances","何かが起こる確率が百万分の一なら、"
502,I met a Quux with seven hacks.,私は7つのハックを持つQuuxに出会った。
503,-- John McNulty,-- ジョン・マクナルティ
504,-- Walt Kelly,-- ウォルト・ケリー
505,Love is sentimental measles.,恋は感傷的なはしかである。
506,Every bug had seven manifestations;,すべてのバグには7つの兆候があった。
507,Real Programmers don't write in COBOL. COBOL is for wimpy applications,本物のプログラマーはCOBOLでは書かない。COBOLは弱々しいアプリケーションのためのものだ。
508,soap bubble?,シャボン玉？
509,The pot's at the other end.,鍋は向こうの端にある。
510,Steinbach's Guideline for Systems Programming,,スタインバックのシステムプログラミングのためのガイドライン
511,"Misery loves company, but company does not reciprocate.",不幸は仲間を好むが、仲間はそれに応えない。
512,I really hate this damned machine,,私はこの忌々しい機械が本当に嫌いだ。
513,Bizarreness is the essence of the exotic,,奇妙さは異国情緒の本質である。
514,"Slang is language that takes off its coat, spits on its hands, and goes","俗語とは、コートを脱ぎ、手に唾を吐きかけ、"
515,Excellent day for drinking heavily. Spike office water cooler.,大酒を飲むには最高の日。オフィスのウォータークーラーに酒を入れろ。
516,If I traveled to the end of the rainbow,,もし私が虹の果てまで旅したなら
517,handicapped.,ハンディキャップのある。
518,The attention span of a computer is only as long as its,コンピュータの集中力は、その
519,God is a polythiest,,神は多神教徒だ。
520,Now and then an innocent person is sent to the legislature.,時々、無実の人が議会に送られる。
521,-- Anatole France,-- アナトール・フランス
522,hands.,手。
523,Velilind's Laws of Experimentation:,ヴェリリンドの実験の法則：
524,-- G. B. Shaw,-- G・B・ショー
525,-- Isaiah,-- イザヤ
526,You can create your own opportunities this week. Blackmail a senior,今週は自分で機会を作り出せる。上級
527,-- Paul McCracken,-- ポール・マクラッケン
528,totally worthless.,全く価値がない。
529,"In English, every word can be verbed. Would that it were so in our","英語では、すべての単語を動詞化できる。我々の"
530,Avoid him. He's a Commie.,彼を避けろ。彼は共産主義者だ。
531,"Remember, even if you win the rat race -- you're still a rat.",覚えておけ、たとえ出世競争に勝ったとしても――お前はまだネズミだ。
532,body is better.,体の方が良い。
533,-- Peggy Joyce,-- ペギー・ジョイス
534,this sort of trash.,この種のゴミ。
535,-- Dr. Who,-- ドクター・フー
536,"SPELL quiche. They eat Twinkies, and Szechwan food.","キッシュと綴る。彼らはトゥインキーや四川料理を食べる。"
537,effort to teach them good manners.,彼らに良いマナーを教える努力。
538,>from the sun; there's a large meteor blocking transmission; or someone,太陽から。大きな隕石が通信を妨げているか、あるいは誰かが
539,himself from the sphere of exaction.,搾取の範囲から自分自身を。
540,"""How should I know? What am I, a philosopher?""",「どうして知るものか？私は何だ、哲学者か？」
541,-- Alan Perlis,-- アラン・パーリス
542,upon to act in accordance with the dictates of reason.,理性の命令に従って行動するように。
543,example.,例。
544,"-- The Brigader, from Dr. Who","-- 『ドクター・フー』より、准将"
545,"loaded Star Trek 3.2 into our video processor.""","我々のビデオプロセッサに『スタートレック3.2』をロードした。」"
546,Worst Month of 1981 for Downhill Skiing: January. The lines are the,1981年、滑降スキーに最悪の月：1月。行列は
547,-- Peter S. Beagle,-- ピーター・S・ビーグル
548,A candidate is a person who gets money from the rich and votes from the,候補者とは、金持ちから金をもらい、
549,You may be recognized soon. Hide.,あなたは間もなく認識されるかもしれない。隠れなさい。
550,"One of the oldest problems puzzled over in the Talmud is: ""Why did God","タルムードで最も古くから puzzling されてきた問題の一つは、「なぜ神は"
551,in kernel as it is in user!,ユーザー空間と同じようにカーネル空間でも！
552,handle.,扱う。
553,"I don't do booze,",私は酒はやらない。
554,give it back to them.,彼らにそれを返す。
555,A city is a large community where people are lonesome together,,都市とは、人々が一緒に孤独を感じる大きな共同体である。
556,Never attribute to malice that which is adequately explained by,悪意に帰するな、
557,"It used to point to me,",それはかつて私を指していた。
558,Give your child mental blocks for Christmas.,クリスマスに子供にメンタルブロックを与えなさい。
559,listings or the object deck.,リストまたはオブジェクトデッキ。
560,"Gravity is a myth, the Earth sucks.",重力は神話だ、地球は吸い込む。
561,Nooses give;,縄は緩む。
562,Nihilism should commence with oneself.,ニヒリズムは自己から始めるべきだ。
563,Coronation: The ceremony of investing a sovereign with the outward and,戴冠式：君主に外見上と
564,that is not being talked about.,噂されていないことだ。
565,"And masculine urgin's,",そして男性的な衝動
566,"Life is a yo-yo, and mankind ties knots in the string.","人生はヨーヨーで、人類はその糸に結び目を作る。"
567,Bride: A woman with a fine prospect of happiness behind her.,花嫁：幸せな未来を背後に持つ女性。
568,Noncombatant: A dead Quaker.,非戦闘員：死んだクエーカー教徒。
569,Its monitor loses so totally!,そのモニターは完全に負ける！
570,Gas smells awful;,ガスはひどい匂いがする。
571,"The strip revolved,",ストリップは回転した。
572,soup can't cure is neurotic dependence on one's mother.,スープが治せないのは、母親への神経症的な依存である。
573,It never does quite what I want,,それは決して私が望むことを完全にはしない。
574,means the price went way up.,価格が大幅に上がったことを意味する。
575,They also surf who only stand on waves.,波の上に立つ者もまた、サーフィンをする。
576,"Unless the results are known in advance, funding agencies will","結果が事前に分かっていない限り、資金提供機関は"
577,in God.,神を。
578,It is easier to write an incorrect program than understand a correct,正しいプログラムを理解するより、間違ったプログラムを書く方が簡単だ。
579,fur coat.,毛皮のコート。
580,Acids stain you;,酸はあなたを汚す。
581,"create goyim?"" The generally accepted answer is ""_s_o_m_e_b_o_d_y has to buy","ゴイムを創造したのか？」一般的に受け入れられている答えは、「誰かが"
582,Hindsight is an exact science.,後知恵は精密科学である。
583,the light comes on.,明かりがつく。
584,"""It is easier for a camel to pass through the eye of a needle if it is","「ラクダが針の穴を通るのは、それが"
585,-- from the Brown Security Crime Prevention Pamphlet,-- ブラウン・セキュリティ犯罪防止パンフレットより
586,Psychiatrists say that one out of four people are mentally ill. Check,精神科医は4人に1人が精神的に病んでいると言う。
587,"immune to bullets""","弾丸に免疫がある」"
588,Optimization hinders evolution.,最適化は進化を妨げる。
589,A Law of Computer Programming:,コンピュータプログラミングの法則：
590,There's no future in time travel,,タイムトラベルに未来はない。
591,a cynic's eyes to improve his vision.,皮肉屋の目を、彼の視力を改善するために。
592,God did not create the world in 7 days; he screwed around for 6 days,神は7日で世界を創造したのではない。6日間遊び呆けて
593,Hello Dr. Falken.,こんにちは、ファルケン博士。
594,points.,点。
595,Assure us that it must be so.,そうに違いないと我々を安心させてくれる。
596,"""Contrariwise,"" continued Tweedledee, ""if it was so, it might be, and","「それどころか」とトゥイードルディーは続けた。「もしそうだったら、そうだったかもしれないし、"
597,"with a large fortune.""","大きな財産を持って。」"
598,Kinkler's First Law:,クリンクラーの第一法則：
599,A limerick packs laughs anatomical,,リメリックは解剖学的な笑いを詰め込む。
600,conventional thing to happen to him.,彼に起こるありふれたこと。
601,Honorable: Afflicted with an impediment in one's reach. In legislative,名誉ある：手の届く範囲に障害があること。立法府では
602,You could get a new lease on life -- if only you didn't need the first,人生をやり直せるかもしれない――もし最初の
603,Don't hate yourself in the morning -- sleep till noon.,朝に自己嫌悪するな――昼まで寝ろ。
604,LSD consumes 47 times its weight in excess reality.,LSDは、その重さの47倍の過剰な現実を消費する。
605,Antonym: The opposite of the word you're trying to think of.,反意語：あなたが考えようとしている言葉の反対。
606,atlantic with his verb in his mouth.,大西洋を、口に動詞をくわえて。
607,"You are wise, witty, and wonderful, but you spend too much time reading","あなたは賢く、機知に富み、素晴らしいが、あまりに多くの時間を"
608,"99 blocks of crud on the disk,",ディスク上の99ブロックのゴミ
609,-- Woody Allen.,-- ウディ・アレン
610,Show respect for age. Drink good Scotch for a change.,年齢に敬意を払え。たまには良いスコッチを飲め。
611,The three laws of thermodynamics:,熱力学の三法則：
612,Famous last words:,有名な最期の言葉：
613,And other erotic effects.,そして他のエロティックな効果。
614,-- Senator Soaper,-- ソーパー上院議員
615,"said, ""Life is like a bowl of sour cream.""",言った、「人生はサワークリームのボウルのようなものだ。」
616,Mistakes are often the stepping stones to utter failure.,間違いはしばしば、完全な失敗への踏み石となる。
617,fortune: Segmentation violation -- Core dumped,運勢：セグメンテーション違反――コアダンプ
618,Put your Nose to the Grindstone!,身を粉にして働け！
619,Enzymes are things invented by biologists that explain things which,酵素とは、生物学者が発明したものであり、
620,Horse sense is the thing a horse has which keeps it from betting on,馬の分別とは、馬が
621,"San Francisco isn't what it used to be, and it never was.",サンフランシスコはかつての姿ではなく、そして決してそうではなかった。
622,"Due to a shortage of devoted followers, the production of great leaders","献身的な追随者の不足により、偉大な指導者の生産は"
623,Good day for overcoming obstacles. Try a steeplechase.,障害を克服するには良い日。障害物競走を試してみよう。
624,Lysistrata had a good idea.,リュシストラタは良いアイデアを持っていた。
625,"changer clothes. Mountain climbing is OK, and real programmers wear their","服を着替える。登山はOKで、本物のプログラマーは"
626,Smoke a friend today.,今日は友達を吸おう。
627,"The sun was shining on the sea,",太陽は海の上で輝いていた。
628,Fourth Law of Applied Terror:,応用テロの第四法則：
629,Never test for an error condition you don't know how to,対処法を知らないエラー条件をテストするな。
630,"system, in which all of its major weaknesses have been exposed,",システム、その主要な弱点がすべて露呈した
631,This will be a memorable month -- no matter how hard you try to forget,今月は忘れられない月になるだろう――どんなに忘れようとしても。
632,"modify the problem, not the remedy.",解決策ではなく、問題を修正する。
633,annoying than the piano when played by a sister or near relation.,姉妹や近親者が弾くピアノよりも迷惑だ。
634,A diva who specializes in risqu'e arias is an off-coloratura soprano...,きわどいアリアを専門とする歌姫は、オフコロラトゥーラソプラノだ…
635,has been discontinued.,は中止された。
636,-- Fred Allen,-- フレッド・アレン
637,hope I don't get run over again.,また轢かれないことを願う。
638,BLISS is ignorance,,BLISS（至福/プログラミング言語）は無知である。
639,one.,一つ。
640,Think of your family tonight. Try to crawl home after the,今夜は家族のことを考えなさい。
641,"which means that if you rent an apartment, you are paying for three","つまり、もしアパートを借りるなら、あなたは3つの"
642,The cow is nothing but a machine with makes grass fit for us people to,牛は、我々人間が
643,Fine day to work off excess energy. Steal something heavy.,有り余るエネルギーを発散させるには良い日だ。何か重いものを盗め。
644,bomb.,爆弾。
645,DeVries' Dilemma:,デフリース家のジレンマ：
646,If you view your problem closely enough you will recognize,問題を十分注意深く見れば、
647,"About the time we think we can make ends meet, somebody moves the","収支を合わせられると思った頃に、誰かが"
648,"variable.""","変数。」"
649,knows what it is.,それが何か知っている。
650,-- H. L. Mencken,-- H・L・メンケン
651,System/3! System/3!,システム/3！システム/3！
652,"If God had meant for us to be naked, we would have been born that way.","もし神が我々に裸でいてほしかったなら、我々はそのように生まれていただろう。"
653,"Everyting should be built top-down, except the first time.",すべてはトップダウンで構築されるべきだ、最初の時を除いては。
654,Truthful: Dumb and illiterate.,正直者：口がきけず、読み書きができない。
655,Predestination was doomed from the start.,予定説は最初から運命づけられていた。
656,"If you are given an open-book exam, you will forget your book.",もし持ち込み可の試験を与えられたら、本を忘れるだろう。
657,whether to write in COBOL or FORTRAN.,COBOLで書くかFORTRANで書くか。
658,Do not sleep in a eucalyptus tree tonight.,今夜はユーカリの木で眠るな。
659,Johnny's so long at the fair.,ジョニーは祭りからなかなか帰らない。
660,Boss is reading it.,上司がそれを読んでいる。
661,Vitamin C deficiency is apauling,,ビタミンC欠乏症は嘆かわしい。
662,"It's not that I'm afraid to die. I just don't want to be there when it,","死ぬのが怖いわけじゃない。ただ、それが起こるときにそこにいたくないだけだ。"
663,debugging sessions.,デバッグセッション。
664,God is not dead! He's alive and autographing bibles at Cody's,,神は死んでいない！彼は生きていて、コディーズで聖書にサインしている。
665,Military intelligence is a contradiction in terms.,軍事諜報は矛盾した言葉である。
666,easy to handle: You've solved the wrong problem. Work hard to,扱いやすい：あなたは間違った問題を解決した。
667,The answer is 42.,答えは42だ。
668,SHIFT TO THE LEFT! SHIFT TO THE RIGHT!,左にシフト！右にシフト！
669,mail. Corresponding errors will show up in the duplicate while the,郵便。対応するエラーは、
670,after the age of 12.,12歳以降に。
671,You can measure a programmer's perspective by noting his attitude on,プログラマーの視点は、彼の
672,"""I know not with what weapons World War III will be fought, but","「第三次世界大戦がどのような兵器で戦われるかはわからないが"
673,-- Salvor Hardin,-- サルヴァー・ハーディン
674,"Condense soup, not books!",本ではなく、スープを濃縮せよ！
675,"But in our enthusiasm, we could not resist a radical overhaul of the","しかし、我々は熱意のあまり、"
676,the little hand is on the ....,短い針が…にある。
677,get used to it.,それに慣れろ。
678,middle of the machine room.,機械室の真ん中に。
679,No one can make you feel inferior without your consent.,あなたの同意なしに、誰もあなたを劣っていると感じさせることはできない。
680,"100 blocks of crud on the disk,",ディスク上の100ブロックのゴミ
681,Travel important today; Internal Revenue men arrive tomorrow.,今日は旅行が重要。明日、国税庁の役人が来る。
682,"So seldom are clean,",めったにきれいではなく
683,I never fail to convince an audience that the best thing they could do,私は聴衆に、彼らがなしうる最善のことは
684,-- Gigo,-- ギゴ
685,"Real Programmers don't write in PASCAL, or BLISS, or ADA, or any of those pinko",本物のプログラマーはPASCAL、BLISS、ADA、その他赤みがかった
686,Kin: An affliction of the blood,,親族：血の苦しみ。
687,"""The way to make a small fortune in the commodities market is to start","「商品市場で小金を稼ぐ方法は、始めることだ」"
688,"Every program is a part of some other program, and rarely fits.","すべてのプログラムは、他のプログラムの一部であり、めったに適合しない。"
689,it holds the universe together...,それは宇宙を一つにまとめている…
690,Corollary:,系論：
691,You've been leading a dog's life. Stay off the furniture.,あなたは犬のような生活を送ってきた。家具から離れていなさい。
692,"If you did manage to get any good shots, they will be ruined","もし良い写真が撮れたとしても、それらは台無しになるだろう"
693,"Reclaimer, spare that tree!",再生業者よ、その木を助けてやれ！
694,Give thought to your reputation. Consider changing name and moving to,自分の評判を考えなさい。名前を変えて、
695,Hire the morally handicapped.,道徳的にハンディキャップのある人を雇いなさい。
696,A day for firm decisions!!!!! Or is it?,確固たる決断の日だ！！！！！それとも違うか？
697,Be wary of strong drink. It can make you shoot at tax collectors and,強い酒には気をつけろ。それは税務署員を撃ちたくさせ、そして
698,Do not drink coffee in early A.M. It will keep you awake until noon.,早朝にコーヒーを飲むな。昼まで目が覚めてしまうぞ。
699,-- W. Somerset Maughm,-- W・サマセット・モーム
700,"What garlic is to salad, insanity is to art.","サラダにとってのニンニクが、芸術にとっての狂気である。"
701,"If a listener nods his head when you're explaining your program, wake","あなたのプログラムを説明しているときに聞き手がうなずいたら、"
702,Who ate a green apple and died.,青リンゴを食べて死んだ。
703,will be temporarily canceled.,は一時的に中止されます。
704,Now I'm protecting it.,今、私はそれを守っている。
705,"Paranoids are people, too; they have their own problems. It's easy to","偏執病の人も人間だ。彼らにも彼ら自身の問題がある。簡単に"
706,"""Really ?? What a coincidence, I'm shallow too!!""","「本当？なんて偶然、私も浅はかよ！」"
707,improve.,改善する。
708,Down with categorical imperative!,定言命法を打倒せよ！
709,"As I was passing Project MAC,",プロジェクトMACを通り過ぎたとき
710,-- Don Quinn,-- ドン・クイン
711,A chubby man with a white beard and a red suit will approach you soon.,白いひげを生やし、赤いスーツを着たぽっちゃりした男が間もなくあなたに近づくだろう。
712,"As of next week, passwords will be entered in Morse code.",来週から、パスワードはモールス信号で入力されることになります。
713,Mickey Mouse wears a Spiro Agnew watch.,ミッキーマウスはスピロ・アグニューの腕時計をしている。
714,Menu: A list of dishes which the restaurant has just run out of,メニュー：レストランがちょうど品切れにした料理のリスト。
715,"I have seen the future and it is just like the present, only longer.","私は未来を見たが、それは現在と全く同じで、ただ長いだけだった。"
716,Whose poetry never would scan.,その詩は決して韻律に合わなかった。
717,Absent: Exposed to the attacks of friends and acquaintances; defamed;,不在：友人や知人の攻撃にさらされること。中傷されること。
718,Surprise due today. Also the rent.,今日は驚きが待っている。家賃もだ。
719,The world is coming to an end! Repent and return those library books!,世界は終わる！悔い改め、図書館の本を返しなさい！
720,a new town.,新しい町。
721,Do molecular biologists wear designer genes?,分子生物学者はデザイナー遺伝子（デザイナーズジーンズとの掛詞）を身に着けるのか？
722,A banker is a fellow who lends you his umbrella when the sun is shining,銀行家とは、太陽が輝いているときに傘を貸してくれ
723,taught how _n_o_t to. So it is with the great programmers.,いかにしてそうしないかを教えられなければならなかっただろう。偉大なプログラマーも同様である。
724,"out of Casablanca and the Germans have outlawed miracles.""","カサブランカから出て、ドイツ人は奇跡を非合法化した。」"
725,committee -- that will do them in.,委員会――それが彼らを破滅させるだろう。
726,And since then has never benzene.,そしてそれ以来、ベンゼン（been seen=見られたとの掛詞）になったことはない。
727,"this garbage, having passed through a very expensive machine, is","このゴミは、非常に高価な機械を通過した後"
728,Surprise your boss. Get to work on time.,上司を驚かせろ。時間通りに出勤しろ。
729,You will be a winner today. Pick a fight with a four-year-old.,今日はあなたが勝者になるだろう。4歳児に喧嘩を売れ。
730,life.,人生。
731,"""Diet.""","「ダイエット」"
732,System/3!,システム/3！
733,Ducharm's Axiom:,デュシャームの公理：
734,Opportunity always knocks at the least opportune moment.,好機は常に、最も不都合な瞬間に訪れる。
735,Afternoon very favorable for romance. Try a single person for a,午後はロマンスに非常に好都合。一人の人を
736,crystallography weenies.,結晶学のオタクたち。
